Motif,Cluster,Hits,Fisher_score,p_adjusted
mmu-miR-466f-3p,chromatin_positive,3171.0,54843.1978794965,0.0
mmu-miR-669c-3p,chromatin_positive,3395.0,46181.77424801864,0.0
mmu-miR-466i-3p,chromatin_positive,2825.0,39341.94362278878,0.0
mmu-miR-466n-5p,nucleus_positive,4555.0,38211.00896643387,0.0
mmu-miR-466m-3p,chromatin_positive,2621.0,37272.656346360105,0.0
mmu-miR-467f,chromatin_positive,2151.0,21123.833910862646,0.0
mmu-miR-5126,nucleus_positive,2125.0,16701.039442164965,0.0
mmu-miR-762,nucleus_positive,2228.0,14565.150948587328,0.0
mmu-miR-6931-5p,nucleus_positive,749.0,5442.810652407366,0.0
mmu-miR-3473b,nucleus_positive,499.0,5380.168122475965,0.0
mmu-miR-6919-3p,nucleoplasm_negative,745.0,4936.376347202512,0.0
mmu-miR-328-5p,nucleoplasm_positive,585.0,3947.8393551558834,4.194843073442458e-297
mmu-miR-5110,ER_negative,590.0,3929.132224295281,1.2758997260470497e-291
mmu-miR-7648-3p,nucleus_positive,532.0,3451.3575964565757,2.2697730655555284e-249
mmu-miR-346-3p,mitochondrion_negative,400.0,2753.2759525980987,2.9302771536993225e-212
mmu-miR-1906,ER_negative,324.0,2151.9395698979697,1.9469732681581506e-160
mmu-miR-149-3p,nucleoplasm_negative,281.0,1877.7979259323597,3.188387727570605e-141
mmu-miR-6968-5p,nucleoplasm_positive,236.0,1512.7480176199947,2.810177239811203e-109
mmu-miR-7669-3p,extracellular_positive,202.0,1473.5035475053314,2.005855940316662e-121
mmu-miR-7028-5p,nucleus_positive,180.0,1180.6781556336937,5.687441926974236e-88
mmu-miR-7011-5p,cytoplasm_negative,90.0,602.3679875948249,5.585614938710493e-47
mmu-miR-466q,chromatin_positive,67.0,558.5757177541756,3.3639492553885355e-53
mmu-miR-6980-5p,nucleoplasm_positive,85.0,542.4029687186023,1.7980418122820718e-40
mmu-miR-675-5p,nucleus_positive,15.0,511.5612395421358,5.1282577966797356e-89
mmu-miR-7016-5p,nucleoplasm_negative,81.0,504.0137533618981,9.501253294048857e-37
mmu-miR-6981-5p,ER_negative,58.0,438.7487345808721,4.971874029202284e-39
mmu-miR-7079-5p,nucleus_positive,47.0,351.95330832356115,1.7993081255531707e-31
mmu-miR-1249-5p,ribosome_negative,52.0,345.64998748274553,1.0489661424306654e-27
mmu-miR-5130,ribosome_negative,47.0,332.9161098216036,1.9353598637824196e-28
mmu-miR-7222-3p,chromatin_negative,46.0,313.72483009791233,5.512775489061391e-26
mmu-miR-7662-5p,nucleus_positive,47.0,303.961984107542,5.91647184568028e-24
mmu-miR-7049-3p,ribosome_negative,43.0,293.69379886757616,1.7003555148181065e-24
mmu-miR-6958-5p,nucleus_positive,37.0,277.5717762224759,2.564024316624552e-25
mmu-miR-6998-3p,extracellular_positive,37.0,265.66180973191143,2.0709531980184802e-23
mmu-miR-698-5p,nucleus_positive,35.0,247.16506509064428,1.3277483110312648e-21
mmu-miR-6922-5p,nucleus_positive,31.0,241.5060278645712,5.169083770705738e-23
mmu-miR-6979-5p,cytoplasm_positive,31.0,221.69219134955742,8.189179147594226e-20
mmu-miR-1893,ribosome_negative,33.0,221.28153286904984,1.2037626996773256e-18
mmu-miR-8100,cytoplasm_negative,31.0,201.60550055641625,1.1307361015048764e-16
mmu-miR-6911-5p,nucleus_positive,28.0,200.91981936755823,3.3226795534080885e-18
mmu-miR-7069-5p,nucleoplasm_positive,26.0,197.88218941490197,7.059557905104235e-19
mmu-miR-30c-2-3p,cytoplasm_positive,28.0,178.75180692428484,9.634630446638216e-15
mmu-miR-1903,membrane_negative,22.0,171.87366570306963,5.0949842614610986e-17
mmu-miR-7030-5p,cytoplasm_positive,22.0,137.44626925051844,1.5112796403159208e-11
mmu-miR-7085-3p,extracellular_positive,18.0,127.10354728884484,4.30423044075525e-12
mmu-miR-504-3p,nucleoplasm_negative,17.0,114.54041385923139,1.18190064932604e-10
mmu-miR-6379,membrane_negative,18.0,110.84809976974951,1.499321366164013e-09
mmu-miR-3473h-5p,ER_negative,15.0,105.44563227540672,2.515313589431395e-10
mmu-miR-7050-5p,ER_negative,16.0,103.89681261222455,1.5838952920178713e-09
mmu-miR-6385,cytoplasm_negative,12.0,94.5557191324591,2.5072587071949967e-10
mmu-miR-1930-3p,mitochondrion_positive,13.0,89.98702756123977,5.588962143296069e-09
mmu-miR-7031-5p,ER_negative,12.0,87.49967915168375,3.7232667640036288e-09
mmu-miR-6418-5p,nucleoplasm_positive,12.0,84.20289280218238,1.2842882166595305e-08
mmu-miR-7033-5p,ER_negative,6.0,78.02748205048766,9.800734131135497e-12
mmu-miR-7005-5p,nucleoplasm_positive,10.0,72.53688126388967,6.980611820654683e-08
mmu-miR-6936-3p,ribosome_negative,3.0,66.1449859781911,2.517390259115682e-12
mmu-miR-17-3p,nucleolus_negative,7.0,65.19555274074764,1.411657169950535e-08
mmu-miR-6342,ribosome_negative,8.0,57.60198802968029,1.319863965745739e-06
mmu-miR-216a-3p,nucleus_positive,6.0,52.52508049991999,5.003076958493576e-07
mmu-miR-6991-3p,ribosome_negative,7.0,50.66484046342753,4.723187164440615e-06
mmu-miR-6953-5p,nucleoplasm_positive,7.0,50.32201635198101,5.392660575608571e-06
mmu-miR-326-5p,nucleoplasm_positive,7.0,48.93953621864941,9.17979670892343e-06
mmu-miR-8103,nucleoplasm_negative,7.0,48.71372378246495,1.0009087414845052e-05
mmu-miR-7083-5p,nucleoplasm_positive,7.0,46.269699334902576,2.532939563362647e-05
mmu-miR-6900-5p,chromatin_negative,7.0,42.424532056530545,0.00010584036541404709
