sequence_id,chromatin_prob,cytoplasm_prob,cytosol_prob,endoplasmic reticulum_prob,extracellular region_prob,membrane_prob,mitochondrion_prob,nucleolus_prob,nucleoplasm_prob,nucleus_prob,ribosome_prob,predicted_locations
ENSMUST00000001455.13,0.9999919,1.0,1.0,1.6457585e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000001304.9,5.3375712e-05,0.99849963,1.0,8.99152e-14,1.0,0.06511396,1.0,0.94513136,0.99820197,1.0,1.0,cytoplasm;cytosol;extracellular region;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000001051.9,2.206714e-10,3.8227e-09,0.99989486,1.8507045e-11,0.99999833,0.0057559223,0.056496996,1.9085028e-10,2.451087e-12,1.0,2.8175496e-06,cytosol;extracellular region;nucleus
ENSMUST00000001092.15,0.99935657,0.5309942,1.0,0.9999995,1.0,0.9999999,1.0,0.9877906,0.99986815,1.0,0.9987704,chromatin;cytoplasm;cytosol;endoplasmic reticulum;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000001347.7,0.00033600055,1.0,1.0,1.0651647e-15,1.0,1.0,1.0,0.9961081,1.0,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000001126.4,3.61848e-05,0.9992681,1.0,0.30778483,1.0,0.100034095,1.0,0.02170341,0.00077488757,1.0,1.0,cytoplasm;cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000000767.6,1.0,1.0,1.0,2.402792e-10,1.0,0.99999976,1.0,1.0,0.99999917,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000000206.4,5.0294695e-15,0.00080436526,1.0,3.5831784e-20,1.0,9.253201e-12,1.0,7.465658e-07,0.015134707,0.9999975,0.99999976,cytosol;extracellular region;mitochondrion;nucleus;ribosome
ENSMUST00000002360.17,0.19515549,1.0,1.0,6.5170365e-12,1.0,0.99998665,1.0,0.9999949,0.9999665,1.0,1.0,cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000001884.14,0.46119308,1.0,1.0,4.7223378e-07,1.0,0.018440822,1.0,9.498852e-06,0.92421514,1.0,0.9999999,cytoplasm;cytosol;extracellular region;mitochondrion;nucleoplasm;nucleus;ribosome
ENSMUST00000001439.7,0.99999595,1.0,1.0,0.2203605,1.0,1.0,1.0,0.9999889,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000002079.7,8.414042e-15,4.440705e-17,0.9999714,3.3028712e-18,0.9998565,8.738689e-20,0.9908502,8.3259846e-07,1.500076e-11,0.99999845,2.093729e-08,cytosol;extracellular region;mitochondrion;nucleus
ENSMUST00000000619.8,0.1294943,8.089854e-06,1.0,1.4860773e-17,1.0,0.9998348,1.0,0.031172875,0.992242,1.0,0.10857388,cytosol;extracellular region;membrane;mitochondrion;nucleoplasm;nucleus
ENSMUST00000001148.11,0.99970263,1.0,1.0,2.073621e-10,1.0,1.0,1.0,0.99873954,0.97358865,1.0,0.9999999,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000001927.12,0.00040185722,1.0,1.0,0.61763716,1.0,0.9999759,1.0,0.96148825,0.6727126,1.0,1.0,cytoplasm;cytosol;endoplasmic reticulum;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000002603.12,0.98454547,1.0,1.0,8.910742e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000003640.4,0.99989545,1.0,1.0,1.8582847e-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000003442.9,1.0,0.9999999,1.0,0.00013515762,1.0,1.0,1.0,0.99999464,0.9999995,0.99999475,0.99999905,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
ENSMUST00000002677.11,1.0,1.0,1.0,2.4074207e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chromatin;cytoplasm;cytosol;extracellular region;membrane;mitochondrion;nucleolus;nucleoplasm;nucleus;ribosome
