Gene,Transcript,Motif,Cluster,q_value
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-6953-5p,nucleoplasm_positive,0.0327
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-5126,nucleus_positive,0.0206
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,0.0338
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,0.0338
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,0.0481
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,0.0481
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,0.0484
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,0.0498
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-6998-3p,extracellular_positive,0.0241
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-6953-5p,nucleoplasm_positive,0.0327
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-5126,nucleus_positive,0.0206
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-762,nucleus_positive,0.0338
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-762,nucleus_positive,0.0338
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-762,nucleus_positive,0.0481
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-762,nucleus_positive,0.0481
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-762,nucleus_positive,0.0484
1700017B05Rik,ENSMUST00000214583.2,mmu-miR-762,nucleus_positive,0.0498
1700017B05Rik,ENSMUST00000215298.2,mmu-miR-762,nucleus_positive,0.0498
1700017B05Rik,ENSMUST00000215426.2,mmu-miR-5126,nucleus_positive,0.0206
1700017B05Rik,ENSMUST00000215426.2,mmu-miR-346-3p,mitochondrion_negative,0.0401
1700017B05Rik,ENSMUST00000217657.2,mmu-miR-346-3p,mitochondrion_negative,0.0401
2010204K13Rik,ENSMUST00000128571.4,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000147870.3,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000150671.4,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000154346.4,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000241710.2,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000242374.2,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000244743.2,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309421.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309422.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309423.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309424.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309425.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309426.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309427.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309428.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309429.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309430.1,mmu-miR-6919-3p,nucleoplasm_negative,0.0365
2010204K13Rik,ENSMUST00000309430.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-7069-5p,nucleoplasm_positive,0.0188
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,0.0104
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,0.0104
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,0.0104
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,0.0104
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,0.0177
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,0.027
2010204K13Rik,ENSMUST00000309432.1,mmu-miR-346-3p,mitochondrion_negative,0.0348
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-6979-5p,cytoplasm_positive,0.0296
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-5110,ER_negative,0.037
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-5126,nucleus_positive,0.0206
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-5126,nucleus_positive,0.0266
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-762,nucleus_positive,0.0481
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-5110,ER_negative,0.037
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-5126,nucleus_positive,0.0206
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-5126,nucleus_positive,0.0266
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-762,nucleus_positive,0.0481
2510009E07Rik,ENSMUST00000232634.2,mmu-miR-5126,nucleus_positive,0.0206
2510009E07Rik,ENSMUST00000232634.2,mmu-miR-5126,nucleus_positive,0.0266
2510009E07Rik,ENSMUST00000232634.2,mmu-miR-762,nucleus_positive,0.0481
4931406C07Rik,ENSMUST00000034414.10,mmu-miR-149-3p,nucleoplasm_negative,0.0303
4931406C07Rik,ENSMUST00000034414.10,mmu-miR-6919-3p,nucleoplasm_negative,0.0493
4931406C07Rik,ENSMUST00000178977.9,mmu-miR-7662-5p,nucleus_positive,0.039
4931406C07Rik,ENSMUST00000178977.9,mmu-miR-5126,nucleus_positive,0.00676
4931406C07Rik,ENSMUST00000178977.9,mmu-miR-328-5p,nucleoplasm_positive,0.0358
4931406C07Rik,ENSMUST00000180339.8,mmu-miR-7662-5p,nucleus_positive,0.039
4931406C07Rik,ENSMUST00000180339.8,mmu-miR-5126,nucleus_positive,0.00676
4931406C07Rik,ENSMUST00000180339.8,mmu-miR-328-5p,nucleoplasm_positive,0.0358
4931406C07Rik,ENSMUST00000180339.8,mmu-miR-5126,nucleus_positive,0.0343
4931406C07Rik,ENSMUST00000180339.8,mmu-miR-762,nucleus_positive,0.0482
4931406C07Rik,ENSMUST00000215741.2,mmu-miR-466n-5p,nucleus_positive,0.046
4931406C07Rik,ENSMUST00000216077.2,mmu-miR-762,nucleus_positive,0.0237
4931406C07Rik,ENSMUST00000216077.2,mmu-miR-762,nucleus_positive,0.0498
4931406C07Rik,ENSMUST00000216955.2,mmu-miR-149-3p,nucleoplasm_negative,0.0303
4931406C07Rik,ENSMUST00000217042.2,mmu-miR-466i-3p,chromatin_positive,0.0114
6030458C11Rik,ENSMUST00000227299.2,mmu-miR-466m-3p,chromatin_positive,0.00321
6030458C11Rik,ENSMUST00000227299.2,mmu-miR-669c-3p,chromatin_positive,0.0485
6030458C11Rik,ENSMUST00000228177.2,mmu-miR-466m-3p,chromatin_positive,0.00321
Abca3,ENSMUST00000039013.15,mmu-miR-5110,ER_negative,0.0188
Abca3,ENSMUST00000039013.15,mmu-miR-328-5p,nucleoplasm_positive,0.0315
Abca3,ENSMUST00000079594.12,mmu-miR-1933-3p,chromatin_negative,0.0366
Abca3,ENSMUST00000079594.12,mmu-miR-5110,ER_negative,0.0188
Abca3,ENSMUST00000079594.12,mmu-miR-328-5p,nucleoplasm_positive,0.0315
Abca3,ENSMUST00000117337.2,mmu-miR-5110,ER_negative,0.0188
Abca3,ENSMUST00000117337.2,mmu-miR-328-5p,nucleoplasm_positive,0.0315
Abca3,ENSMUST00000133816.8,mmu-miR-1933-3p,chromatin_negative,0.0366
Abca3,ENSMUST00000133816.8,mmu-miR-328-5p,nucleoplasm_positive,0.0315
Abca3,ENSMUST00000133816.8,mmu-miR-6931-5p,nucleus_positive,0.0332
Abca3,ENSMUST00000136295.2,mmu-miR-1933-3p,chromatin_negative,0.0366
Abca3,ENSMUST00000136295.2,mmu-miR-6958-5p,nucleus_positive,0.0432
Abca3,ENSMUST00000136295.2,mmu-miR-7669-3p,extracellular_positive,0.0377
Abca3,ENSMUST00000136295.2,mmu-miR-762,nucleus_positive,0.0349
Abca3,ENSMUST00000136295.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0455
Abca3,ENSMUST00000136295.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0494
Abca3,ENSMUST00000148557.8,mmu-miR-1933-3p,chromatin_negative,0.0366
Abca3,ENSMUST00000148557.8,mmu-miR-6919-3p,nucleoplasm_negative,0.0455
Abca3,ENSMUST00000148557.8,mmu-miR-6919-3p,nucleoplasm_negative,0.0494
Abca3,ENSMUST00000149233.8,mmu-miR-1933-3p,chromatin_negative,0.0366
Abca3,ENSMUST00000149233.8,mmu-miR-6919-3p,nucleoplasm_negative,0.0455
Abca3,ENSMUST00000149233.8,mmu-miR-6919-3p,nucleoplasm_negative,0.0494
Abca3,ENSMUST00000234109.2,mmu-miR-1933-3p,chromatin_negative,0.0366
Abca3,ENSMUST00000234109.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0494
Abca3,ENSMUST00000234109.2,mmu-miR-6919-3p,nucleoplasm_negative,0.0494
Acad10,ENSMUST00000031412.12,mmu-miR-762,nucleus_positive,0.0433
Acad10,ENSMUST00000031412.12,mmu-miR-6919-3p,nucleoplasm_negative,0.0455
Acad10,ENSMUST00000031412.12,mmu-miR-466n-5p,nucleus_positive,0.0291
