Gene,Transcript,Cluster
1700017B05Rik,ENSMUST00000034846.7,nucleoplasm_positive
1700017B05Rik,ENSMUST00000034846.7,nucleus_positive
1700017B05Rik,ENSMUST00000213199.2,extracellular_positive
1700017B05Rik,ENSMUST00000213199.2,nucleoplasm_positive
1700017B05Rik,ENSMUST00000213199.2,nucleus_positive
1700017B05Rik,ENSMUST00000214583.2,nucleus_positive
1700017B05Rik,ENSMUST00000215298.2,nucleus_positive
1700017B05Rik,ENSMUST00000215426.2,mitochondrion_negative
1700017B05Rik,ENSMUST00000215426.2,nucleus_positive
1700017B05Rik,ENSMUST00000217657.2,mitochondrion_negative
2010204K13Rik,ENSMUST00000128571.4,mitochondrion_negative
2010204K13Rik,ENSMUST00000147870.3,mitochondrion_negative
2010204K13Rik,ENSMUST00000150671.4,mitochondrion_negative
2010204K13Rik,ENSMUST00000154346.4,mitochondrion_negative
2010204K13Rik,ENSMUST00000241710.2,mitochondrion_negative
2010204K13Rik,ENSMUST00000242374.2,mitochondrion_negative
2010204K13Rik,ENSMUST00000244743.2,mitochondrion_negative
2010204K13Rik,ENSMUST00000309421.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309422.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309423.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309424.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309425.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309426.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309427.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309428.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309429.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309430.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309430.1,nucleoplasm_negative
2010204K13Rik,ENSMUST00000309431.1,mitochondrion_negative
2010204K13Rik,ENSMUST00000309431.1,nucleoplasm_positive
2010204K13Rik,ENSMUST00000309431.1,nucleus_positive
2010204K13Rik,ENSMUST00000309432.1,mitochondrion_negative
2510009E07Rik,ENSMUST00000053336.8,ER_negative
2510009E07Rik,ENSMUST00000053336.8,cytoplasm_positive
2510009E07Rik,ENSMUST00000053336.8,nucleus_positive
2510009E07Rik,ENSMUST00000231592.2,ER_negative
2510009E07Rik,ENSMUST00000231592.2,nucleus_positive
2510009E07Rik,ENSMUST00000232634.2,nucleus_positive
4931406C07Rik,ENSMUST00000034414.10,nucleoplasm_negative
4931406C07Rik,ENSMUST00000178977.9,nucleoplasm_positive
4931406C07Rik,ENSMUST00000178977.9,nucleus_positive
4931406C07Rik,ENSMUST00000180339.8,nucleoplasm_positive
4931406C07Rik,ENSMUST00000180339.8,nucleus_positive
4931406C07Rik,ENSMUST00000215741.2,nucleus_positive
4931406C07Rik,ENSMUST00000216077.2,nucleus_positive
4931406C07Rik,ENSMUST00000216955.2,nucleoplasm_negative
4931406C07Rik,ENSMUST00000217042.2,chromatin_positive
AI506816,ENSMUST00000197153.4,nucleus_positive
AI506816,ENSMUST00000199941.6,nucleus_positive
AI506816,ENSMUST00000244629.1,nucleus_positive
AI506816,ENSMUST00000267516.1,extracellular_positive
AI506816,ENSMUST00000267516.1,nucleus_positive
AU022252,ENSMUST00000132778.8,ER_negative
AU022252,ENSMUST00000132778.8,chromatin_positive
AU022252,ENSMUST00000132778.8,nucleoplasm_positive
AU022252,ENSMUST00000132778.8,nucleus_positive
AU022252,ENSMUST00000141112.2,chromatin_positive
AU022252,ENSMUST00000141112.2,nucleoplasm_positive
AU022252,ENSMUST00000141112.2,nucleus_positive
Abca3,ENSMUST00000039013.15,ER_negative
Abca3,ENSMUST00000039013.15,nucleoplasm_positive
Abca3,ENSMUST00000079594.12,ER_negative
Abca3,ENSMUST00000079594.12,chromatin_negative
Abca3,ENSMUST00000079594.12,nucleoplasm_positive
Abca3,ENSMUST00000117337.2,ER_negative
Abca3,ENSMUST00000117337.2,nucleoplasm_positive
Abca3,ENSMUST00000133816.8,chromatin_negative
Abca3,ENSMUST00000133816.8,nucleoplasm_positive
Abca3,ENSMUST00000133816.8,nucleus_positive
Abca3,ENSMUST00000136295.2,chromatin_negative
Abca3,ENSMUST00000136295.2,extracellular_positive
Abca3,ENSMUST00000136295.2,nucleoplasm_negative
Abca3,ENSMUST00000136295.2,nucleus_positive
Abca3,ENSMUST00000148557.8,chromatin_negative
Abca3,ENSMUST00000148557.8,nucleoplasm_negative
Abca3,ENSMUST00000149233.8,chromatin_negative
Abca3,ENSMUST00000149233.8,nucleoplasm_negative
Abca3,ENSMUST00000234109.2,chromatin_negative
Abca3,ENSMUST00000234109.2,nucleoplasm_negative
Acad10,ENSMUST00000031412.12,nucleoplasm_negative
Acad10,ENSMUST00000031412.12,nucleus_positive
Acad10,ENSMUST00000111770.2,nucleoplasm_positive
Acad10,ENSMUST00000111770.2,nucleus_positive
Acad10,ENSMUST00000133775.8,nucleus_positive
Acad10,ENSMUST00000137231.2,nucleoplasm_negative
Acad10,ENSMUST00000137789.8,nucleus_positive
Actn2,ENSMUST00000064204.14,nucleus_positive
Actn2,ENSMUST00000110616.2,nucleoplasm_negative
Actn2,ENSMUST00000110616.2,nucleus_positive
Actn2,ENSMUST00000168193.8,nucleoplasm_negative
Actn2,ENSMUST00000168193.8,nucleus_positive
Actn2,ENSMUST00000221162.3,nucleoplasm_negative
Adam12,ENSMUST00000067680.11,chromatin_positive
Adam12,ENSMUST00000067680.11,extracellular_positive
Adam12,ENSMUST00000067680.11,nucleoplasm_positive
Adam12,ENSMUST00000067680.11,nucleus_positive
Adam12,ENSMUST00000138363.2,mitochondrion_negative
Adam12,ENSMUST00000138363.2,nucleus_positive
Adam12,ENSMUST00000154144.2,nucleus_positive
Adam12,ENSMUST00000154144.2,ribosome_negative
Adamts12,ENSMUST00000061318.9,chromatin_positive
Adamts12,ENSMUST00000061318.9,nucleus_positive
Adamts12,ENSMUST00000227189.2,nucleus_positive
Adamts12,ENSMUST00000228940.2,nucleus_positive
Add2,ENSMUST00000032069.8,nucleoplasm_negative
Add2,ENSMUST00000032069.8,ribosome_negative
Add2,ENSMUST00000203279.2,nucleoplasm_negative
Add2,ENSMUST00000203366.3,nucleus_positive
Add2,ENSMUST00000203724.3,nucleoplasm_negative
Add2,ENSMUST00000203724.3,ribosome_negative
Add2,ENSMUST00000203786.3,nucleoplasm_negative
Add2,ENSMUST00000204059.3,nucleoplasm_negative
Add2,ENSMUST00000204059.3,ribosome_negative
Add2,ENSMUST00000205034.3,nucleoplasm_negative
Add2,ENSMUST00000205034.3,nucleus_positive
Adk,ENSMUST00000045376.11,chromatin_positive
Adk,ENSMUST00000045376.11,nucleus_positive
Adk,ENSMUST00000223861.2,ER_negative
Adk,ENSMUST00000223861.2,chromatin_positive
Adk,ENSMUST00000223861.2,extracellular_positive
Adk,ENSMUST00000223861.2,nucleus_positive
Adk,ENSMUST00000224069.2,nucleus_positive
Afap1,ENSMUST00000064571.11,chromatin_positive
Afap1,ENSMUST00000064571.11,nucleoplasm_positive
Afap1,ENSMUST00000064571.11,nucleus_positive
Afap1,ENSMUST00000146300.2,chromatin_positive
Afap1,ENSMUST00000146300.2,mitochondrion_negative
Afap1,ENSMUST00000146300.2,nucleus_positive
Afap1,ENSMUST00000201482.2,mitochondrion_negative
Afap1,ENSMUST00000201482.2,nucleoplasm_positive
Afap1,ENSMUST00000201482.2,nucleus_positive
Afap1l2,ENSMUST00000111584.9,nucleus_positive
Afap1l2,ENSMUST00000118800.8,nucleus_positive
Afap1l2,ENSMUST00000122359.8,nucleus_positive
Afap1l2,ENSMUST00000132851.2,extracellular_positive
Agap1,ENSMUST00000027521.15,chromatin_positive
Agap1,ENSMUST00000027521.15,nucleoplasm_positive
Agap1,ENSMUST00000027521.15,nucleus_positive
Agap1,ENSMUST00000074945.8,ER_negative
Agap1,ENSMUST00000074945.8,chromatin_positive
Agap1,ENSMUST00000074945.8,nucleoplasm_positive
Agap1,ENSMUST00000074945.8,nucleus_positive
Agap1,ENSMUST00000185417.2,ER_negative
Agap1,ENSMUST00000185417.2,nucleoplasm_negative
Agap1,ENSMUST00000185417.2,nucleus_positive
Agap1,ENSMUST00000185417.2,ribosome_negative
Agap1,ENSMUST00000190096.7,nucleoplasm_positive
Agap1,ENSMUST00000190096.7,nucleus_positive
Agrn,ENSMUST00000071248.12,chromatin_positive
Agrn,ENSMUST00000071248.12,nucleoplasm_positive
Agrn,ENSMUST00000071248.12,nucleus_positive
Agrn,ENSMUST00000105574.9,chromatin_positive
Agrn,ENSMUST00000105574.9,nucleoplasm_positive
Agrn,ENSMUST00000105574.9,nucleus_positive
Agrn,ENSMUST00000105575.9,chromatin_positive
Agrn,ENSMUST00000105575.9,nucleoplasm_positive
Agrn,ENSMUST00000105575.9,nucleus_positive
Agrn,ENSMUST00000154494.8,nucleus_positive
Agrn,ENSMUST00000180572.2,chromatin_positive
Agrn,ENSMUST00000180572.2,nucleoplasm_positive
Agrn,ENSMUST00000180572.2,nucleus_positive
Agrn,ENSMUST00000181062.8,nucleus_positive
Ahnak,ENSMUST00000092956.4,nucleus_positive
Ahnak,ENSMUST00000236390.2,chromatin_positive
Ahnak,ENSMUST00000237033.2,nucleus_positive
Akap12,ENSMUST00000045730.7,chromatin_positive
Akap12,ENSMUST00000045730.7,nucleoplasm_negative
Akap12,ENSMUST00000045730.7,nucleus_positive
Akap12,ENSMUST00000215696.2,nucleoplasm_negative
Akap12,ENSMUST00000215696.2,nucleus_positive
Akap12,ENSMUST00000216139.3,chromatin_positive
Akap12,ENSMUST00000216139.3,nucleoplasm_negative
Akap12,ENSMUST00000216139.3,nucleus_positive
Akap12,ENSMUST00000239373.2,chromatin_positive
Akap12,ENSMUST00000239373.2,nucleoplasm_negative
Akap12,ENSMUST00000239373.2,nucleus_positive
Akap13,ENSMUST00000166315.7,ER_negative
Akap13,ENSMUST00000166315.7,chromatin_positive
Akap13,ENSMUST00000166315.7,nucleoplasm_positive
Akap13,ENSMUST00000166315.7,nucleus_positive
Akap13,ENSMUST00000207079.2,ER_negative
Akap13,ENSMUST00000207750.2,ER_negative
Akap13,ENSMUST00000207750.2,chromatin_positive
Akap13,ENSMUST00000207750.2,nucleoplasm_positive
Akap13,ENSMUST00000207750.2,nucleus_positive
Akap13,ENSMUST00000207751.2,nucleus_positive
Akap13,ENSMUST00000207923.2,ER_negative
Akap13,ENSMUST00000208053.2,ER_negative
Akap13,ENSMUST00000208248.2,ER_negative
Akap13,ENSMUST00000208248.2,chromatin_positive
Akap13,ENSMUST00000208248.2,cytoplasm_negative
Akap13,ENSMUST00000208248.2,nucleus_positive
Akap13,ENSMUST00000208456.2,ER_negative
Akap13,ENSMUST00000208708.2,ER_negative
Ampd3,ENSMUST00000005829.13,ER_negative
Ampd3,ENSMUST00000005829.13,chromatin_positive
Ampd3,ENSMUST00000005829.13,nucleus_positive
Ampd3,ENSMUST00000143786.2,nucleus_positive
Ampd3,ENSMUST00000170374.8,ER_negative
Ampd3,ENSMUST00000170374.8,chromatin_positive
Ampd3,ENSMUST00000170374.8,nucleoplasm_positive
Ampd3,ENSMUST00000170374.8,nucleus_positive
Ampd3,ENSMUST00000213373.2,ER_negative
Ampd3,ENSMUST00000213373.2,chromatin_positive
Ampd3,ENSMUST00000213373.2,nucleoplasm_positive
Ampd3,ENSMUST00000213373.2,nucleus_positive
Ap2a2,ENSMUST00000003038.12,chromatin_positive
Ap2a2,ENSMUST00000003038.12,nucleoplasm_positive
Ap2a2,ENSMUST00000003038.12,nucleus_positive
Ap2a2,ENSMUST00000201320.2,ER_negative
Ap2a2,ENSMUST00000201320.2,nucleoplasm_positive
Ap2a2,ENSMUST00000201320.2,nucleus_positive
