Isoforms,MotifLoc,JSD,PrimaryBef,Prob Shift,PrimaryAft,New/Runner-up
ENSMUST00000222714.2,3648,0.002237240318208933,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000029567.9,3456,0.002410072775091976,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000113447.8,4448,1.6071912796178367e-05,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000039769.13,4256,3.7872113125558826e-06,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170374.8,3648,1.6553310248184356e-25,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000238584.2,4448,0.0017682293546386063,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000137526.2,3616,0.0032747869263403118,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000023024.8,3840,0.002367710752878338,cytosol,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000164107.3,3360,0.003230767440982163,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000207394.2,4160,1.0727975709765736e-16,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
ENSMUST00000114954.8,3840,0.0048946564784273505,extracellular,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000047903.10,3520,3.632902804077768e-17,cytoplasm,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000101141.9,4480,0.0015222885413095355,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000070968.14,3360,0.0004090602742508054,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000053336.8,3360,3.9351553482447343e-07,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000199019.5,4320,0.00011223072579014115,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000152623.2,4160,0.014752047136425972,extracellular,100.0% -> 100.0%,extracellular,73.6% -> 2.3%
ENSMUST00000130183.8,3712,2.1626295453871722e-13,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000167679.8,3488,0.0004507747507886961,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000022212.9,3456,5.321307210981891e-22,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000114155.8,3360,1.1174230418460433e-12,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000034700.15,3552,1.967081146858618e-07,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000044851.8,3424,2.5362063524880796e-06,cytoplasm,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000085299.4,3392,-5.4104597468906945e-09,chromatin,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000160934.8,3424,0.0003130035038338974,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000159561.8,3328,5.881044489797205e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000170367.9,3808,1.0837228892057738e-09,chromatin,100.0% -> 100.0%,chromatin,100.0% -> 100.0%
ENSMUST00000077355.12,4416,0.0006881803274154663,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000128262.2,4192,0.021229054778814316,extracellular,100.0% -> 99.7%,extracellular,98.0% -> 0.8%
ENSMUST00000074729.6,3360,0.0031917065498419106,chromatin,100.0% -> 99.9%,cytosol,100.0% -> 100.0%
ENSMUST00000175916.8,3712,0.0012510323140304536,cytoplasm,100.0% -> 100.0%,cytoplasm,100.0% -> 100.0%
ENSMUST00000084852.13,3456,1.6471987692057155e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000114012.8,4416,9.968719314201735e-05,cytosol,100.0% -> 100.0%,cytosol,100.0% -> 100.0%
ENSMUST00000075372.13,4160,7.990983503296746e-18,extracellular,100.0% -> 100.0%,extracellular,0.0% -> 0.0%
